address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
31-10 Thomson Ave.,,N,N,N,,,,N,N,N,,N,Long Island City,,,N,N,Job Training and Computer Literacy Program,N,N,Y,Y,N,7186092071,N,N,N,N,N,N,,N,N,,,N,N,N,Y,N,,LaGuardia Community College Workforce Education Center,N,,,N,7184825340,,N,Published,Y,N,http://www.lagcc.cuny.edu/wec/computer.htm,N,N,N
"1216 Fifth Ave., 3rd Floor",,N,N,N,1016080069,1051496,MANHATTAN,N,N,N,168,N,New York,11,8,N,N,Library,N,N,Y,N,N,2124230266,N,N,N,N,N,N,40.792101,N,N,"{'latitude': '40.792101', 'needs_recoding': False, 'longitude': '-73.952174'}",-73.952174,Y,N,N,Y,N,East Harlem South                                                          ,New York Academy of Medicine,N,,,N,2128227315,10029,N,Published,N,N,http://www.nyam.org/library/,N,N,N
61 Broadway Suite 510,,N,N,N,1000210001,1000808,MANHATTAN,N,N,N,13,N,New York,1,1,N,N,Life Planning for a Handicapped Family Member.  Life Services is a non-profit organization established to help families provide a secure future for their loved ones with a disability.,Y,N,N,N,N,,N,N,N,N,N,N,40.706995,N,N,"{'latitude': '40.706995', 'needs_recoding': False, 'longitude': '-74.012335'}",-74.012335,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Disabled and Alone Life Services for the Handicapped,N,,,N,8009950066,10006,N,Published,N,N,http://www.disabledandalone.org/,N,N,N
"50 Broadway, 19th Floor",,N,N,N,1000220024,1000813,MANHATTAN,N,N,N,9,N,New York,1,1,N,Y,"If you or someone you know in the New York City area is suffering with emotional or substance abuse problems, we can help. We are here, 7 days a week, 24 hours a day. Our staff of mental health professionals speaks a variety of languages. You can reach us by calling any one of our three toll-free, anonymous hotlines:",N,N,N,N,N,2125291959,N,Y,N,N,N,N,40.706449,N,N,"{'latitude': '40.706449', 'needs_recoding': False, 'longitude': '-74.012761'}",-74.012761,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Mental Health Association of New York City,N,,,N,8005433638,10004,N,Published,N,N,http://www.mhaofnyc.org/2lifenet.html,N,N,N
3 W. 29th St.,,N,N,N,1008310030,1015763,MANHATTAN,N,N,N,76,N,New York,5,4,N,Y,The mission of The Compassionate Friends is to assist families in the positive resolution of grief following the death of a child and to provide information to help others be supportive.,N,N,N,N,N,,N,N,N,N,N,N,40.745457,N,N,"{'latitude': '40.745457', 'needs_recoding': False, 'longitude': '-73.987196'}",-73.987196,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Compassionate Friends,N,,,N,2122179647,10010,N,Published,N,N,http://www.geocities.com/tcfmanhattan/,N,N,N
133-01 41st Road,,N,N,N,4050410067,4114249,QUEENS   ,N,N,N,849,N,Flushing,7,20,N,N,"Rooted in a tradition and history of community service, outreach and philantrhopy to some of New York City's most socially and economically troubled neighborhoods, the Boy's Club of New York (BCNY) strives to sustain an environment that nurtures individual talent, strenghtens family and promotes strong citizenship while fostering a passion for learning. We encourage our participants to seek the highest standards of scholarship, moral development, and physical achievement. Working closely with our membership and their families, our professional staff encourages the emotional, social, physical, educational and vocational growth of the agency's entire membership and extended family.",N,N,N,N,N,7188864179,N,N,N,N,N,N,40.756645,N,N,"{'latitude': '40.756645', 'needs_recoding': False, 'longitude': '-73.831024'}",-73.831024,N,N,N,Y,N,Flushing                                                                   ,Boys Club of New York,N,N,,N,7188865454,11355,N,Published,Y,N,http://www.bcny.org/,N,N,Y
PO Box 40,,N,N,N,,,,N,Y,N,,N,Stony Brook,,,N,Y,"Myasthenia Gravis is a highly misdiagnosed autoimmune neuromuscular disease in which communication between nerve and muscle is impaired, causing weakness.  Its primary symptoms are erratic. The most common symptoms, alone or in any combination are:  droopy eye lid(s), weak arms, hands, neck, face or legs, difficulty chewing, smiling, swallowing, talking, breathing, blurred or double vision or undue fatigue.  It can strike anyone at any age.  MG can masquerade as over-work, under-rest, anemia, vitamin deficiency, disease of the involved organ(s), or even emotional disturbances.  Its cause is unknown.  There is no cure. 

The MGFA, a charitable non-profit organization, was formed to serve patient needs, promote awareness and provide for research.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,N,,Myasthenia Gravis Foundation,N,Y,Long Island,N,5165380738,11790,N,Published,N,Y,http://mgfametrony.homestead.com/nymgmgfa.html,N,N,N
"1983 Marcus Ave., Suite C103",,N,N,N,,,,N,Y,N,,N,Lake Success,,,N,Y,"The purpose of the NAMI-New York State shall be to serve as an alliance of local mutual support, advocacy, self-help groups and individual members at-large dedicated to improving the quality of life for people with serious mental illness and to the eventual eradication of the severe effects of mental illnesses.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,N,,National Alliance for the Mentally Ill,N,Y,Nation-wide,N,5163260797,11042,N,Published,N,Y,http://www.naminys.org,N,N,N
"22 West 21st St., 6th Fl.",,N,N,N,1008220054,1015505,MANHATTAN,N,N,N,54,N,New York,5,3,N,N,"NAVH is committed to ensuring that impaired vision does not result in impaired life. Our mission is to help the ""hard of seeing™"" worldwide cope with the psychological effects of visual impairment and to provide low vision services, visual aids and training to anyone in need of these services.",Y,N,N,N,N,,N,N,N,N,N,N,40.740657,N,N,"{'latitude': '40.740657', 'needs_recoding': False, 'longitude': '-73.991473'}",-73.991473,Y,N,N,Y,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,National Association for Visually Handicapped,N,,,N,2128893141,10001,N,Published,N,N,http://www.navh.org/,N,N,N
"71 West 23rd Street., Suite 1527",,N,N,N,1008250001,1015575,MANHATTAN,N,N,N,58,N,New York,5,3,N,Y,"The New York Branch of the International Dyslexia Association (NYB-IDA) is a non-profit organization that provides information, referrals, training and support to professionals and families regarding the impact and treatment of people with dyslexia. Each year, we answer the calls of thousands of parents, adults and professionals who are seeking advice on what to do and where to turn for help in their efforts to cope with dyslexia. As the largest branch in New York State focusing solely on dyslexia, we are a key link in connecting families and professionals to information and services.",N,N,N,N,N,,N,Y,N,N,N,N,40.742441,N,N,"{'latitude': '40.742441', 'needs_recoding': False, 'longitude': '-73.991667'}",-73.991667,Y,N,N,Y,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,International Dyslexia Association,N,,,N,2126911930,10010,N,Published,N,N,http://www.nybida.org/,N,N,N
"432 Park Avenue South, 15th Floor",,N,N,N,1008590039,1016934,MANHATTAN,N,N,N,74,N,New York,5,2,N,N,"""DRF is the leader in research leading to a cure for type 1 diabetes in the world.  It sets the global agenda for diabetes research, and is the largest charitable funder and advocate of diabetes science worldwide.

The mission of JDRF is to find a cure for diabetes and its complications through the support of research.  Type 1 diabetes is an autoimmune disease that strikes children and adults suddenly, and can be fatal.  Until a cure is found, people with type 1 diabetes have to test their blood sugar and give themselves insulin injections multiple times or use a pump - each day, every day of their lives.  And even with that intensive care, insulin is not a cure for diabetes, nor does it prevent its eventual and devastating complications, which may include kidney failure, blindness, heart disease, stroke, and amputation.""",N,N,N,N,N,,N,Y,N,N,N,N,40.744257,N,N,"{'latitude': '40.744257', 'needs_recoding': False, 'longitude': '-73.98341'}",-73.98341,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Juvenile Diabetes Foundation International: New York Chapter,N,,,N,2126892860,10016,N,Published,N,N,http://www.jdrf.org/nyc,N,N,N
2050 Second Avenue,,N,N,N,,,,N,N,N,,Y,New York,,,N,Y,"The EHTP participants engage in a variety of inter-related activities, all of which are focused on literacy and operate within a youth development framework. These activities include:
Homework Help: This service is available daily for all participants, K-12, over-aged and under-credited participants. 
Small-group Study with Academic Specialists: Our certified teachers provide targeted support in reading, writing, math, science and global studies. We also provide remedial work for those who have begun college in the area and have requested our help. 
Arts and Culture Activities: These comprise dance, drama and poetry, photography, video/filmmaking and music recording. Middle- and high-school participants are recruited by FUEGO en la 106, our resident dance company, where they discover the world of dancing while learning about different cultures, the rigors of performing, teamwork and self-discipline. 
Creative Writing and Reading: By keeping weekly journals, participating in book clubs, engaging in scriptwriting and carrying out interviews, among other things, participants can learn new and interesting ways to express themselves on the page. 
Technology Access and Education: These activities promote computer, web-design and networking skills as well as general computer literacy. 
Science and Innovation: Featuring our award-winning FIRST Robotics Team (which, despite being East Harlem's first robotics team ever, managed to beat proven powerhouses like Stuyvesant HS and Bronx HS of Science to Nationals) and its middle school component, Lego Robotics. We are pleased to have just been included in the InvenTeam competition out of MIT. 
College and Career Preparation: We offer test prep, college tours, career exploration, SAT prep and Regents prep. 
Youth Development Activities: These provide young participants with much needed skills in conflict resolution, community activism, volunteering, youth governance, teamwork, time management and decision making. 
One-to-One Tutoring: Personalized tutoring remains a mainstay of our programming with weekly sessions, 11/2 hours per week. 
Recreation and Sports: These activities include basketball, table tennis and supervised park visits. 
Family Literacy Programming: Springing from a direct need voiced by the parents themselves, this service began this year with our first-ever ESL classes. We were thrilled to have advanced 26 parents from the first session. 
University Program: EHTP's University Program offers high-school students the opportunity to work with licensed teachers so that they can prepare for Regent exams and improve their chances to accumulate credits. Working hand in hand with staff members, they will identify college or career options and fulfill the necessary requirements to become competitive applicants for their school or career of choice. EHTP-UP also provides an off-site ""boot camp"" for 30 rising high-school freshmen and sophomores.",N,N,Y,N,N,2122897967,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,East Harlem Tutorial Program,N,N,,N,2128310650,10471,N,Published,N,N,http://www.ehtp.org/,N,N,Y
15 Penn Plaza,"Level B, Suite 40",N,N,N,1008087501,1015191,MANHATTAN,Y,Y,Y,101,N,New York,5,3,N,N,"The mission of Bottomless Closet is to promote economic self sufficiency by providing interview skills, business clothing, and ongoing career development and support programs to economically disadvantaged New York City women. By enhancing their self-confidence and self-esteem, we enable them to enter and succeed in the workforce and transform the vision for their lives.",N,N,N,Y,N,2125632461,N,N,N,N,N,N,40.750009,N,N,"{'latitude': '40.750009', 'needs_recoding': False, 'longitude': '-73.991327'}",-73.991327,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Bottomless Closet,N,N,,Y,2125632499,10001,N,Published,Y,Y,http://www.bottomlessclosetnyc.org,N,N,N
"National Headquarters, 910 17th Street, NW, Suite",,N,N,N,,,,Y,Y,N,,N,"Washington, D.C.",,,N,Y,"Founded out of tragedy in 1994, TAPS has grown and established itself as the front line resource to families and loved ones of our military men and women.ï¿½ TAPS has provided comfort and care, 24 hours a day, 7 days a week through comprehensive services and programs including peer based emotional support, case work assistance, crisis intervention, and grief and trauma resources.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,TAPS (Tragedy Assistance Program for Survivors),N,N,,N,2025888277,20006,N,Published,Y,Y,http://www.taps.org/,Y,N,N
3223 8th Avenue,,N,Y,N,,,,Y,Y,N,,N,New York,,,Y,N,"Our mission is to undertake research and action focused on preventing and ending grave abuses of the rights to physical and mental integrity, freedom of conscience and expression, and freedom from discrimination, within the context of our work to promote all human rights.",N,N,N,N,N,2126271451,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Amnesty International,N,N,,N,2128071451,10001,N,Published,Y,Y,http://www.amnestyusa.org/,N,N,N
43-22 50th Street,Suite 2E,N,N,N,4001380040,4001290,QUEENS   ,N,N,N,25301,N,Woodside,2,26,N,N,"Voces Latinas (VL) started it's work in 2003 as part of the Western Queens HIV Care Network. A group of certified social workers in the HIV field who were also part of the Network were concerned about the high rates of HIV among women of color, particularly immigrant Latinas, as there exists a gap in services for this hard to reach population due to immigration status, documentation status, language barrier, and cultural norms. Voces Latinas saw a need for more outreach, education, advocacy and resources in Spanish for this population. VL began raising money in order to hold conferences and forums in Queens targeting immigrant Latinas living with and at risk for HIV. This was an opportunity to invite the HIV specialist to come to Queens and talk to the population at hand, as it is often impossible for these women to attend conferences often times held in English and in other parts of the country. The response to the conferences and forums was so positive that Voces Latinas began holding bi-monthly community workshops around issues placing Latinas at high risk for HIV/AIDS such as domestic violence, alcohol and substance abuse, depression, etc. These workshops quickly turned weekly. The workshops continue to be held weekly and also serve to provide an opportunity for Latinas to meet and provide each other emotional support and an opportunity to tell their stories, which for many of them is the first time ever openly talking about their lives.",N,Y,Y,N,N,7185934528,N,Y,N,N,Y,N,40.744161,N,N,"{'latitude': '40.744161', 'needs_recoding': False, 'longitude': '-73.914709'}",-73.914709,N,N,N,Y,N,Hunters Point-Sunnyside-West Maspeth                                       ,Voces Latinas,N,N,,N,7185934528,11377,N,Published,Y,N,http://www.voceslatinas.org/,N,N,N
"150-38 Union Turnpike, #11J",,N,N,N,4067137501,4446721,QUEENS   ,N,N,N,77905,N,Flushing,8,24,N,N,"AIWA has focused on articulating and promoting concerns of South Asian women in North America.  AIWA has worked extensively in areas such as employment, career development, cultural acculturation, integration, health, education and general welfare.  It has also provided charitable assistance and developed referral services.  AIWA members have done extensive outreach and speaking at various community and academic panels to address issues on political, civic, social, economic, cultural and religious fronts to develop a vibrant Asian/South Asian American community.",N,N,N,Y,N,7185916511,N,N,N,N,Y,N,40.719087,N,N,"{'latitude': '40.719087', 'needs_recoding': False, 'longitude': '-73.811999'}",-73.811999,N,N,N,Y,Y,Kew Gardens Hills                                                          ,Asian-Indian Women in America,N,N,,N,7185916511,11367,N,Published,Y,N,,N,N,N
85 South Oxford St.,,N,N,N,3021180011,3059350,BROOKLYN ,N,Y,N,181,N,Brooklyn,2,35,N,N,"The Audre Lorde Project is a Lesbian, Gay, Bisexual, Two Spirit, and Transgender People of Color center for community organizing, focusing on the New York City area. Through mobilization, education, and capacity-building, we work for community wellness and progressive social and economic justice. Committed to struggling across differences, we seek to responsibly reflect, represent and serve our various communities.",N,N,N,N,N,7185961328,N,N,N,N,Y,N,40.686918,N,Y,"{'latitude': '40.686918', 'needs_recoding': False, 'longitude': '-73.973563'}",-73.973563,N,N,N,Y,N,Fort Greene                                                                ,Audre Lorde Project,N,,,N,7185960342,11217,N,Published,N,N,http://www.alp.org/,N,N,N
460 Nostrand Avenue,,N,N,N,3018320046,3338711,BROOKLYN ,N,Y,N,245,N,Brooklyn,3,36,N,N,"The Bridge Street Development Corporation is a faith-based community development corporation which was founded ten years ago by the senior pastor and other officials of the Bridge Street AWME Church. Our mission is to help residents of Bedford-Stuyvesant acquire affordable housing, appreciating assets including real estate, businesses, and education.",N,N,N,N,N,7183998602,N,N,N,Y,N,N,40.68316,N,N,"{'latitude': '40.68316', 'needs_recoding': False, 'longitude': '-73.950143'}",-73.950143,N,N,N,Y,N,Bedford                                                                    ,Bridge Street Development Corporation,N,N,,Y,7183990146,11216,N,Published,N,N,http://www.bsdcorp.org/,N,N,N
"c/o Puerto Rican Family Institute, Inc.",384 East 149th Street - Suite 610,N,N,N,,,,Y,N,N,,N,Bronx,,,N,Y,"The Bronx HIV CARE Network was established through The Ryan White CARE Act and is funded by the The State Department of Health AIDS Institute. Created to focus on those areas hardest hit by HIV/AIDS, the Bronx HIV CARE Network encourages the coordination and expansion of existing health care services. The Network promotes agency collaboration and networking, assists in identifying and addressing community priorities and provides input into the New York State HIV planning process. The mission of the Bronx HIV CARE Network is to insure coordination of comprehensive health and social services, and to develop necessary resources not currently available for people both infected and affected by HIV/AIDS in the Bronx.",N,N,N,N,N,7186651282,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Bronx HIV Care Network,N,N,,N,7186657900,10455,N,Published,N,N,http://www.nypl.org/branch/aids-hiv/hiv_care.html,N,N,N
2473 Valentine Ave,,N,Y,N,2031530033,2013603,BRONX    ,Y,N,N,23702,N,Bronx,5,15,N,N,"CAAAV: Organizing Asian Communities (also known as Committee Against Anti-Asian Violence) was founded by Asian women in 1986 as one of the first organizations in the United States to mobilize Asian communities to counter anti-Asian violence. CAAAV focuses on institutional violence that affects immigrant working-class communities such as worker exploitation, concentrated urban poverty, police brutality, Immigration and Naturalization Service (INS) detention and deportation, and criminalization of workers and youth. By organizing across diverse, low-wage and poor Asian communities in New York City, CAAAV exposes and struggles against violence with the goal of building community capacity to exercise self-determination. Building coalitions enables CAAAV to contribute to a unified strategy for a broader, multi-racial and multi-issue movement for social change. CAAAV is a volunteer-driven organization led by members of low-income Asian immigrant communities.",N,N,N,N,N,7182207398,N,N,N,N,Y,N,40.861467,N,N,"{'latitude': '40.861467', 'needs_recoding': False, 'longitude': '-73.896236'}",-73.896236,N,N,N,Y,N,Bedford Park-Fordham North                                                 ,CAAAV: Organizing Asian Communities,N,N,,N,7182207391,10458,N,Published,N,N,http://www.caaav.org/,N,N,N
,,N,Y,N,,,,Y,Y,N,,N,New York,,,N,N,"The Campaign to End the Death Penalty (CEDP) is the only national membership-driven, chapter-based grassroots organization dedicated to the abolition of capital punishment in the United States. We have active chapters in cities and campuses across the country -- from Berkeley, California, to Austin, Texas to Chicago, Illinois. We work hand in hand with those who have experienced the horrors of death row firsthand--death row prisoners themselves their family members--and work to ensure that their voices are at the forefront of our movement.",N,N,N,N,N,,N,N,N,N,N,N,,Y,N,,,Y,N,N,Y,N,,Campaign to End the Death Penalty,N,Y,Chicago,N,3478532758,,N,Published,Y,Y,http://www.nodeathpenalty.org/,N,N,N
275 Seventh Avenue,,N,N,N,1008010001,1015000,MANHATTAN,Y,Y,N,91,N,New York,4,3,N,N,"CancerCare provides free professional counseling, educational programs, financial assistance and practical help to people with cancer, their loved ones, and health care professionals across the country. CancerCare's diverse programming and services are designed to meet the specific needs of men, women and c",N,N,Y,N,N,2127128495,N,Y,N,N,N,N,40.745743,N,N,"{'latitude': '40.745743', 'needs_recoding': False, 'longitude': '-73.994435'}",-73.994435,Y,N,N,Y,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"CancerCare, Inc.",N,N,,N,8008134673,10001,N,Published,Y,Y,http://www.cancercare.org/,N,N,N
"105 Chambers St., Suite 5A",,N,N,N,1001457501,1001591,MANHATTAN,Y,Y,N,21,N,New York,1,1,N,Y,"Since 1984, Sanctuary for Families has been a haven for abused women and their children. It's a place where victims of domestic violence can find safety, counseling, advocacy, legal assistance, and shelter. At the Center, women can receive skilled, caring, culturally sensitive legal assistance for protection, support, custody of children, or for legal immigration status.",N,Y,N,N,N,,N,Y,N,N,N,N,40.715049,Y,N,"{'latitude': '40.715049', 'needs_recoding': False, 'longitude': '-74.008185'}",-74.008185,Y,N,N,Y,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"Center for Battered Women's Legal Services, Sanctuary for Families",N,N,,N,2123496009,10007,N,Published,Y,Y,http://www.sanctuaryforfamilies.org/legalservices.htm,N,N,N
"20 West 104th Street, Basement",,N,Y,N,1018390045,1055483,MANHATTAN,Y,Y,N,189,N,New York,7,7,N,N,"CIF is a community organizing, education, and training center that fights for social, economic, and racial justice. We work to further the human rights of immigrants through building community power.",N,N,Y,N,N,2125311391,N,N,N,N,N,N,40.796987,N,N,"{'latitude': '40.796987', 'needs_recoding': False, 'longitude': '-73.9616'}",-73.9616,Y,N,N,Y,N,Upper West Side                                                            ,Center for Immigrant Families (CIF),N,N,,N,2125313011,10025,N,Published,Y,Y,http://www.c4if.org/,N,N,N
"University at Albany,SUNY, Draper Hall 302",135 Western Ave.,N,Y,N,,,,Y,Y,N,,N,Albany,,,N,N,"The Center for Women in Government and Civil Society is part of the Rockefeller College of Public Affairs and Policy, University at Albany, State University of New York. Through research, teaching, leadership development, networking, and public education, the Center works to strengthen women's public policy leadership, broaden access of women and youth to policy knowledge, skills, and influence, advance equity for women in the workplace, promote collaboration across sectors to enhance nonprofit management and leadership, and inform policy makers and policy activists on issues related to women, children, and families.",N,N,Y,N,N,5184423877,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Center for Women in Government and Civil Society,N,Y,Albany,N,5184423900,12222,N,Published,Y,Y,http://www.cwig.albany.edu/,N,N,N
"120-55 Queens Blvd., Room 325",,N,N,N,4022740002,4052812,QUEENS   ,N,N,N,216,N,Kew Gardens,9,29,N,Y,The Center for Women of New York works in conjunction with existing women's groups in Queens to help meet the needs of women. It is committed to the cause of women's rights and works to address the issues that affect women and their families.,N,N,Y,N,N,7187930020,N,N,N,N,N,N,40.713329,N,N,"{'latitude': '40.713329', 'needs_recoding': False, 'longitude': '-73.828601'}",-73.828601,N,N,N,Y,N,Kew Gardens                                                                ,Center for Women of New York,N,N,,Y,7187930672,11424,Y,Published,Y,N,http://www.queenswomenscenter.org/,N,N,N
"584-88 Broadway, Suite 306",,N,N,Y,1005110008,1079998,MANHATTAN,N,N,N,43,N,New York,2,1,N,N,"Founded in 1983 as a program of the New York Feminist Art Institute, Ceres is a non-profit alternative center dedicated to the promotion of contemporary women in the arts. We serve as a supportive base for a diversity of artistic and political views. Ceres has become a venue for female and male writers, musicians and dancers, and storytellers to perform and take risks. We believe that the arts provide an important social service and that there is inherent power in art to enhance and enrich the quality and depth of our lives.",N,N,N,N,N,,N,N,N,N,N,N,40.724743,N,N,"{'latitude': '40.724743', 'needs_recoding': False, 'longitude': '-73.997341'}",-73.997341,Y,N,N,Y,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Ceres Gallery,N,,,N,2122264725,10012,N,Published,N,N,http://www.ceresgallery.org/,N,N,N
150 Elizabeth Street,,Y,N,N,1004787501,1088390,MANHATTAN,N,N,N,41,Y,New York,2,1,N,N,"The Chinese-American Planning Council, then known as the Chinatown Planning Council, was founded in 1965 as a grassroots community-based organization in response to the tremendous influx of Chinese immigrants after the change in immigration laws, and in the midst of the Great Society movement. Initially, CPC volunteers counseled families referred by local schools, and provided case management services to help immigrants adjust to their new homes. Filling a void in the community as the first social service agency to serve Chinese-Americans in New York, CPC began to expand its services based on the needs expressed by those in the community.",N,N,Y,Y,N,,N,N,N,N,Y,N,40.7203,N,N,"{'latitude': '40.7203', 'needs_recoding': False, 'longitude': '-73.995083'}",-73.995083,Y,N,N,Y,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Chinese American Planning Council,N,N,,N,2129410920,10012,N,Published,N,N,http://www.cpc-ny.org/,N,N,Y
830 Fifth Avenue,,N,N,Y,1011110001,1083811,MANHATTAN,Y,Y,N,143,N,New York,64,6,Y,N,"City Parks  is the only independent nonprofit organziation to provide programs in parks citywide. By offering arts, sports, edcuation and community organizing initiatives to over 600, 000 people, in 750 parks, we help improve open space in neighborhoods in all 5 boros.",N,N,Y,N,N,,N,Y,N,N,N,N,40.767711,N,N,"{'latitude': '40.767711', 'needs_recoding': False, 'longitude': '-73.970516'}",-73.970516,Y,N,N,Y,N,park-cemetery-etc-Manhattan                                                ,City Parks Foundation,N,N,,N,2123601399,10021,N,Published,Y,Y,http://www.cityparksfoundaton.org,N,N,Y
356 West 123rd St,,N,N,N,1019490058,1059252,MANHATTAN,N,N,N,257,N,New York,10,9,N,N,"C.A.S.H. which is a community - based diagnostic location evaluation program in HarlemTech. HarlemTech is a computer basic learning program that has been in existence for over ten years, that helps young adults who are interested in maintenance and repair of computers. CASH is the premier community organization serving the hard-pressed and unemployed, especially those who have had an encounter with the criminal justice system.",N,N,Y,N,N,,N,N,N,N,N,N,40.809673,N,N,"{'latitude': '40.809673', 'needs_recoding': False, 'longitude': '-73.954061'}",-73.954061,Y,N,N,Y,N,Central Harlem South                                                       ,"Civic Association Serving Harlem, Inc (C.A.S.H.)",N,N,,N,2128645850,10027,N,Published,N,N,,N,N,Y
489 East 169th Street,,N,N,N,2029100001,2092082,BRONX    ,Y,N,N,14701,Y,Bronx,3,16,N,N,"Located in the Claremont/Morrisania section of the South Bronx, Claremont Neighborhood Centers, Inc. serves thousands of clients a year. Focusing on neighborhood needs, Claremont's services include: child care and after-school programs with activities such as karate, drama and photography workshops, dance and computer instruction and a range of athletic activities.  The settlement also offers a drug abuse program that consists of its own chapters of Narcotics and Alcoholics Anonymous. The Adult Basic Education program focuses on instructing Spanish-speaking adults in conversational English, reading and math.  In addition, Claremont offers a Nite Light program for teens with extended recreational hours until 10 pm,  a job assistance program, summer day camp and participation in The New York Fresh Air Fund.",N,N,N,N,N,,N,N,N,N,N,N,40.832965,N,N,"{'latitude': '40.832965', 'needs_recoding': False, 'longitude': '-73.905669'}",-73.905669,N,N,N,Y,N,Claremont-Bathgate                                                         ,"Claremont Neighborhood Centers, Inc.",N,N,,N,7185881000,10456,N,Published,N,N,http://www.claremontcenter.org/,N,N,Y
"50 Broad Street, 18th Floor",,N,N,N,1000240036,1000820,MANHATTAN,N,N,N,9,N,New York,1,1,N,N,"The Coalition for Asian American Children and Families (CACF), the nation's only pan-Asian children's advocacy organization, aims to improve the health and well-being of Asian Pacific American children and families in New York City.",N,N,Y,N,N,2127854601,N,Y,N,N,Y,N,40.705689,Y,N,"{'latitude': '40.705689', 'needs_recoding': False, 'longitude': '-74.011455'}",-74.011455,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Coalition for Asian American Children & Families,N,N,,N,2128094675,10004,N,Published,N,N,http://www.cacf.org/,N,N,N
"25 West 45th Street, Suite 1001",,N,N,N,1012610021,1034245,MANHATTAN,N,N,Y,96,N,New York,5,4,N,N,"To provide a forum for personal and professional growth; to serve as a catalyst for the advancement of women in the communications field; to promote and support philanthropic endeavors through the AWNY Foundation. Through various, dedicated committees, AWNY hosts 35 events per year. Each of our innovative programs aims to enhance career skills and illuminate current industry trends and strategies. Many programs attract top-ranking media personalities as key-note speakers.",N,N,N,N,N,2122218296,N,N,N,N,N,N,40.755854,N,N,"{'latitude': '40.755854', 'needs_recoding': False, 'longitude': '-73.980516'}",-73.980516,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Advertising Women of New York,N,N,,N,2122217969,10036,Y,Published,N,N,http://www.awny.org,N,N,N
"120 Wall Street, 13th Floor",,N,N,N,1000370001,1000871,MANHATTAN,N,N,N,7,N,New York,1,1,N,N,"Founded in 1985, amfAR is dedicated to ending the global AIDS epidemic through innovative research. With the freedom and flexibility to respond quickly to emerging areas of scientific promise, amfAR plays a catalytic role in accelerating the pace of HIV/AIDS research and achieving real breakthroughs. amfAR-funded research has increased our understanding of HIV and has helped lay the groundwork for major advances in the study and treatment of HIV/AIDS. Since 1985, amfAR has invested nearly $290 million in its mission and has awarded grants to more than 2,000 research teams worldwide.",N,N,N,N,N,2128061601,N,Y,N,N,N,N,40.70438,N,N,"{'latitude': '40.70438', 'needs_recoding': False, 'longitude': '-74.006427'}",-74.006427,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,American Foundation for AIDS Research (amfAR),N,N,,N,2128061600,10005,N,Published,N,N,http://www.amfar.org,N,N,N
"75 Maiden Lane, Room 606",,N,N,N,1000680011,1001112,MANHATTAN,N,N,N,1502,N,New York,1,1,N,N,,N,N,N,Y,N,2123758779,N,N,N,N,Y,N,40.707657,N,N,"{'latitude': '40.707657', 'needs_recoding': False, 'longitude': '-74.007758'}",-74.007758,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,"100 Hispanic Women, Inc.",N,Y,Albany and Weschester,N,2122391430,10038,N,Published,N,N,http://www.100hispanicwomen.org,N,N,N
